DeptCode,Year,Month,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2015,3,receive,5575000.00,5:32:10 PM,D_DNS
R12_04_LTN,2017,6,receive,5504760.00,11:54:05 AM,D_EKTW
R12_04_LTN,2017,3,receive,5482691.00,11:40:55 AM,D_MMA
R12_04_LTN,2015,5,receive,5461305.00,11:47:16 AM,D_SSM
R12_04_LTN,2016,2,receive,5454629.00,1:28:13 PM,D_SSM
R12_04_LTN,2016,6,receive,5409953.00,1:26:24 PM,D_MMA
R12_04_LTN,2015,1,receive,5403946.00,3:38:28 PM,D_DNS
R12_04_LTN,2016,11,receive,5273305.00,4:59:42 PM,D_MMA
R12_04_LTN,2017,2,receive,5238700.00,11:04:47 AM,D_MMA
R12_04_LTN,2016,1,receive,5191586.00,1:27:44 PM,D_SSM
R12_04_LTN,2016,8,receive,5176286.00,11:43:35 AM,D_MMA
R12_04_LTN,2016,10,receive,5157215.00,3:59:47 PM,D_MMA
R12_04_LTN,2013,5,receive,5145000.00,2:21:17 PM,D_DNS
R12_04_LTN,2015,12,receive,5142742.00,1:27:18 PM,D_SSM
R12_04_LTN,2016,12,receive,5086564.00,5:07:49 PM,D_MMA
R12_04_LTN,2017,2,receive,4993928.00,11:04:47 AM,D_MMA
R12_04_LTN,2016,11,receive,4904066.00,4:59:42 PM,D_MMA
R12_04_LTN,2017,1,receive,4900000.00,2:24:56 PM,D_MMA
R12_04_LTN,2016,7,receive,4819900.00,3:54:56 PM,D_MMA
R12_04_LTN,2017,2,receive,4816852.00,11:04:47 AM,D_MMA
R12_04_LTN,2014,8,receive,4803326.50,1:25:23 PM,D_DNS
R12_04_LTN,2014,2,receive,4738612.00,4:00:40 PM,D_YYS
R12_04_LTN,2015,8,receive,4697143.00,1:18:09 PM,D_SSM
R12_04_LTN,2013,9,receive,4695000.00,5:37:23 PM,D_DNS
R12_04_LTN,2016,11,receive,4662453.30,4:59:42 PM,D_MMA
R12_04_LTN,2016,11,receive,4662453.30,4:59:42 PM,D_MMA
R12_04_LTN,2016,3,receive,4641645.00,3:04:04 PM,D_SSM
R12_04_LTN,2014,3,receive,4640000.00,2:24:57 PM,D_DNS
R12_04_LTN,2017,1,receive,4632537.00,2:24:56 PM,D_MMA
R12_04_LTN,2015,6,receive,4614447.00,1:11:07 PM,D_SSM
R12_04_LTN,2015,12,receive,4547541.00,1:27:18 PM,D_SSM
R12_04_LTN,2013,7,receive,4530652.84,2:27:58 PM,D_DNS
R12_04_LTN,2016,3,receive,4530000.00,3:04:04 PM,D_SSM
R12_04_LTN,2017,2,receive,4512000.00,11:04:47 AM,D_MMA
R12_04_LTN,2013,12,receive,4464063.00,11:35:15 AM,D_DNS4
R12_04_LTN,2015,2,receive,4430700.00,2:08:48 PM,D_DNS
R12_04_LTN,2014,2,receive,4390164.00,4:00:40 PM,D_YYS
R12_04_LTN,2013,12,receive,4372086.00,11:35:15 AM,D_DNS4
R12_04_LTN,2017,5,receive,4328572.00,6:37:45 PM,D_MMA
R12_04_LTN,2014,1,receive,4320467.00,5:14:04 PM,D_DNS
R12_04_LTN,2016,3,receive,4300000.00,3:04:04 PM,D_SSM
R12_04_LTN,2014,5,receive,4239702.00,3:15:32 PM,D_DNS
R12_04_LTN,2015,7,expense,4237612.90,1:13:52 PM,D_SSM
R12_04_LTN,2014,3,receive,4192071.18,2:24:57 PM,D_DNS
R12_04_LTN,2016,9,receive,4172864.00,2:15:24 PM,D_MMA
R12_04_LTN,2015,5,receive,4171071.00,11:47:16 AM,D_SSM
R12_04_LTN,2013,4,receive,4154806.14,3:21:02 PM,D_DNS
R12_04_LTN,2016,10,receive,4125569.62,3:59:47 PM,D_MMA
R12_04_LTN,2016,2,receive,4100000.00,1:28:13 PM,D_SSM
R12_04_LTN,2016,1,receive,4100000.00,1:27:44 PM,D_SSM
R12_04_LTN,2015,6,expense,4054000.00,1:11:07 PM,D_SSM
R12_04_LTN,2016,10,receive,4048805.00,3:59:47 PM,D_MMA
R12_04_LTN,2015,10,expense,3996500.00,1:24:31 PM,D_SSM
R12_04_LTN,2015,8,expense,3996500.00,1:18:09 PM,D_SSM
R12_04_LTN,2015,9,expense,3996500.00,1:18:41 PM,D_SSM
R12_04_LTN,2013,11,receive,3960000.00,5:38:08 PM,D_DNS
R12_04_LTN,2016,8,expense,3946064.52,11:43:35 AM,D_MMA
R12_04_LTN,2015,11,expense,3946024.19,1:26:50 PM,D_SSM
R12_04_LTN,2017,5,expense,3921000.00,6:37:45 PM,D_MMA
R12_04_LTN,2017,4,receive,3900000.00,4:09:46 PM,D_MMA
R12_04_LTN,2016,7,expense,3887935.48,3:54:56 PM,D_MMA
R12_04_LTN,2016,11,receive,3887199.00,4:59:42 PM,D_MMA
R12_04_LTN,2016,3,expense,3847193.55,3:04:04 PM,D_SSM
R12_04_LTN,2016,2,expense,3847000.00,1:28:13 PM,D_SSM
R12_04_LTN,2016,1,expense,3847000.00,1:27:44 PM,D_SSM
R12_04_LTN,2015,12,expense,3847000.00,1:27:18 PM,D_SSM
R12_04_LTN,2014,12,receive,3843054.00,3:01:23 PM,D_DNS
R12_04_LTN,2014,9,receive,3826048.00,1:07:56 PM,D_DNS
R12_04_LTN,2016,11,expense,3817354.84,4:59:42 PM,D_MMA
R12_04_LTN,2016,12,expense,3811472.43,5:07:49 PM,D_MMA
R12_04_LTN,2017,1,receive,3805000.00,2:24:56 PM,D_MMA
R12_04_LTN,2016,10,expense,3803935.48,3:59:47 PM,D_MMA
R12_04_LTN,2016,9,expense,3792703.91,2:15:24 PM,D_MMA
R12_04_LTN,2016,12,receive,3789000.00,5:07:49 PM,D_MMA
R12_04_LTN,2016,9,receive,3781000.00,2:15:24 PM,D_MMA
R12_04_LTN,2014,9,receive,3758566.00,1:07:56 PM,D_DNS
R12_04_LTN,2016,12,receive,3740544.00,5:07:49 PM,D_MMA
